Year,Month,Day,Flag Tsunami,Flag Earthquake,Volcano Name,Location,Country,Elevation,Volcano Type,Status,Volcanic Explosivity Index,Volcano : Deaths,Volcano : Deaths Description,Volcano : Missing,Volcano : Missing Description,Volcano : Injuries,Volcano : Injuries Description,Volcano : Damage (in M$),Volcano : Damage Description,Volcano : Houses destroyed,Volcano : Houses destroyed Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Coordinates,Earthquakes : Houses damaged Description,Total Effects : Houses Damaged Description
1280,,,,,Quilotoa,Ecuador,Ecuador,3914,Caldera,Radiocarbon,6,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,-0.85,-78.9,
1540,,,Tsunami,,Augustine,Alaska-SW,United States,1252,Lava dome,Historical,4,,,,,,,,,,,,,,,,,,,,,59.37,-153.42,
1660,,,Tsunami,,Long Island,New Guinea-NE of,Papua New Guinea,1280,Complex volcano,Historical,6,2000,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),2000,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),-5358,147.12,
1858,4,23,,Earthquake,Tate-yama,Honshu-Japan,Japan,2621,Stratovolcano,Historical,,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,36.57,137.6,
1864,1,3,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,2,54,Some (~51 to 100 deaths),,,,,,,,Many (~101 to 1000 houses),54,Some (~51 to 100 deaths),,,,,,,,Many (~101 to 1000 houses),-7.93,112308,
1873,1,16,,,Ragang,Mindanao-Philippines,Philippines,2815,Stratovolcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,7.67,124.5,
1902,8,7,,,Tori-shima,Izu Is-Japan,Japan,403,Stratovolcano,Historical,3,125,Many (~101 to 1000 deaths),,,,,,,,,125,Many (~101 to 1000 deaths),,,,,,,,,30.48,140.32,
1907,8,4,,,Alayta,Africa-NE,Ethiopia,1501,Shield volcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,12.88,40.57,
1909,9,,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,2,221,Many (~101 to 1000 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,221,Many (~101 to 1000 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,-8108,112.92,
1919,5,19,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,4,5110,Very Many (~1001 or more deaths),,,,,,,9000,Very Many (~1001 or more houses),5110,Very Many (~1001 or more deaths),,,,,,,9000,Very Many (~1001 or more houses),-7.93,112308,
1919,7,6,,,Nasu,Honshu-Japan,Japan,1917,Stratovolcano,Historical,,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,37.12,139.97,
1920,10,29,,,Izalco,El Salvador,El Salvador,1950,Stratovolcano,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,13813,-89633,
1938,5,9,,,Bandai,Honshu-Japan,Japan,1819,Stratovolcano,Historical,,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,37.6,140.08,
1949,1,1,,,Villarrica,Chile-C,Chile,2847,Stratovolcano,Historical,3,54,Some (~51 to 100 deaths),,,,,,MODERATE (~$1 to $5 million),,,54,Some (~51 to 100 deaths),,,,,,MODERATE (~$1 to $5 million),,,-39.42,-71.93,
1963,9,28,,,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,3,7,Few (~1 to 50 deaths),,,,,,,,,7,Few (~1 to 50 deaths),,,,,,,,,14473,-90.88,
1968,4,21,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,3,6,Few (~1 to 50 deaths),,,,,,,,,6,Few (~1 to 50 deaths),,,,,,,,,13257,123685,
1985,5,10,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,3,70,Some (~51 to 100 deaths),,,,,,,,,70,Some (~51 to 100 deaths),,,,,,,,,-8108,112.92,
1992,7,5,,,Marapi,Sumatra,Indonesia,2891,Complex volcano,Historical,2,1,Few (~1 to 50 deaths),,,5.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,5.0,Few (~1 to 50 deaths),,,,,-381,100473,
2001,10,20,,,Stromboli,Italy,Italy,926,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,38789,15213,
2004,10,24,,,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,4,5,Few (~1 to 50 deaths),,,,,,,,,5,Few (~1 to 50 deaths),,,,,,,,,-4.1,145061,
2010,5,29,Tsunami,Earthquake,Sarigan,Mariana Is-C Pacific,United States,538,Stratovolcano,Holocene,,,,,,,,,,,,,,,,,,,,,,16708,145.78,
2018,12,26,,Earthquake,Etna,Italy,Italy,3350,Stratovolcano,Historical,2,,,,,,,,,,,,,,,28.0,Few (~1 to 50 deaths),115,EXTREME (~$25 million or more),15,Few (~1 to 50 houses),37734,15004,
2020,1,12,,,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,,,,,,,,67.0,EXTREME (~$25 million or more),4573,Very Many (~1001 or more houses),,,,,,,67,EXTREME (~$25 million or more),4573,Very Many (~1001 or more houses),14002,120993,
1357,,,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,4,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.63,-19.05,
1586,,,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,5,10000,Very Many (~1001 or more deaths),,,,,,,,,10000,Very Many (~1001 or more deaths),,,,,,,,,-7.93,112308,
1730,,,,,Tseax River Cone,Canada,Canada,609,Pyroclastic cone,Radiocarbon,,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,55.12,-128.9,
