Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas,Nombre
Santa Cruz,1435,500,150,50.25°S 72.65°O,Lago Argentino
Santa Cruz,1166,Desconocido,Desconocido,49.62°S 72.5°O,Lago Viedma
Río Negro / Neuquén,540,464,157,40.85°S 71.62°O,Lago Nahuel Huapi
Chubut,427,39,20,45.41°S 69.2°O,Lago Musters
Santa Cruz,358,Desconocido,Desconocido,48.92°S 71.21°O,Lago Cardiel
Buenos Aires,156,11,7,37.13°S 62.86°O,Lago Epecuén
Río Negro,116,Desconocido,Desconocido,38.71°S 67.97°O,Lago Pellegrini
Santa Cruz,100,Desconocido,Desconocido,48.43°S 71.19°O,Lago Strobel
Chubut,84,Desconocido,Desconocido,44.92°S 71.5°O,Lago Fontana
Neuquén,84,Desconocido,Desconocido,39.77°S 71.51°O,Lago Huechulafquen
Neuquén,78,Desconocido,Desconocido,40.63°S 71.42°O,Lago Traful
Chubut,73,Desconocido,Desconocido,44.86°S 71.82°O,Lago La Plata
Santa Cruz,65,Desconocido,Desconocido,47.29°S 71.53°O,Lago Ghío
Chubut,58,287,149,42.69°S 71.86°O,Lago Menéndez
Neuquén,58,165,64,38.92°S 71.13°O,Lago Aluminé
Neuquén,53,277,166,40.16°S 71.44°O,Lago Lácar
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,Desconocido,Desconocido,54.41°S 67.72°O,Lago Yehuin
Santa Cruz,47,Desconocido,Desconocido,48.42°S 71.55°O,Lago Quiroga
Chubut,47,180,111,42.15°S 71.65°O,Lago Puelo
Santa Cruz,42,Desconocido,Desconocido,47.98°S 72.35°O,Lago Nansen
Santa Cruz,42,Desconocido,Desconocido,47.84°S 72.14°O,Lago Belgrano
Chubut,42,168,101,42.83°S 71.68°O,Lago Futalaufquen
Santa Cruz,41,Desconocido,Desconocido,47.49°S 71.83°O,Lago Posadas
Neuquén,40,Desconocido,Desconocido,40.68°S 71.71°O,Lago Espejo
Río Negro,39,218,111,41.35°S 71.55°O,Lago Mascardi
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,Desconocido,Desconocido,54.39°S 67.59°O,Lago Chepelmut
Santa Cruz,37,Desconocido,Desconocido,47.5°S 71.61°O,Lago Salitroso o Sucio
Neuquén,37,Desconocido,Desconocido,40.04°S 71.54°O,Lago Lolog
Santa Cruz,30,Desconocido,Desconocido,49.23°S 72.02°O,Lago Tar
Neuquén,29,Desconocido,Desconocido,39.53°S 71.45°O,Lago Tromen
Chubut,28,Desconocido,Desconocido,45.89°S 71.22°O,Lago Blanco
Neuquén,26,Desconocido,Desconocido,39.41°S 71.31°O,Lago Quillén
Santa Cruz,23,Desconocido,Desconocido,47.86°S 71.47°O,Lago Asador o Guitarra
Chubut,23,147,104,42.61°S 71.67°O,Lago Rivadavia
Neuquén,21,Desconocido,Desconocido,38.9°S 71.27°O,Lago Moquehue
Neuquén,20,Desconocido,Desconocido,40.7°S 71.66°O,Lago Correntoso
Chubut,20,Desconocido,Desconocido,45.59°S 68.55°O,Lago Río Chico
Santa Cruz,20,Desconocido,Desconocido,48.5°S 71.58°O,Lago Quiroga Chico
Chubut,17,148,92,42.19°S 71.51°O,Lago Epuyén
Río Negro,17,111,80,41.21°S 71.42°O,Lago Gutiérrez
Chubut,17,108,49,42.46°S 71.67°O,Lago Cholila
Neuquén,16,Desconocido,Desconocido,39.72°S 71.58°O,Lago Paimún
Santa Cruz,16,Desconocido,Desconocido,47.85°S 72.27°O,Lago Azara
Santa Cruz,14,Desconocido,Desconocido,47.96°S 72.2°O,Lago Burmeister
Santa Cruz,14,Desconocido,Desconocido,50.11°S 73.35°O,Lago Onelli
Neuquén,14,Desconocido,Desconocido,40.33°S 71.32°O,Lago Meliquina
Río Negro,12,Desconocido,Desconocido,41.07°S 71.54°O,Lago Perito Moreno
Neuquén,12,Desconocido,Desconocido,39.84°S 71.51°O,Lago Currhué
Neuquén,11,Desconocido,Desconocido,40.48°S 71.48°O,Lago Falkner
Chubut,10,Desconocido,Desconocido,44.24°S 71.5°O,Lago Pico Nº 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,Desconocido,Desconocido,54.69°S 65.81°O,Lago Río Bueno
Chubut,10,57,25,43.26°S 71.35°O,Lago Rosario
Santa Cruz,843,Desconocido,Desconocido,46.44°S 71.71°O,Lago Buenos Aires
Santa Cruz,537,Desconocido,Desconocido,48.9°S 72.7°O,Lago San Martín
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",533,Desconocido,Desconocido,54.56°S 67.89°O,Lago Fagnano
Santa Cruz,125,Desconocido,Desconocido,47.36°S 71.93°O,Lago Pueyrredón
Chubut,96,Desconocido,Desconocido,43.93°S 71.53°O,Lago General Vintter
